"Batch","Filename","Segments","Acquisition_s","Rate_evt_s","Save_s","Batch_s","DutyCycle_pct"
"1","WA0089_775V_Dark_20microV_trig-1.h5","30000","10.219657","2935.519293","22.729581","32.966744","30.999898"
"2","WA0089_775V_Dark_20microV_trig-2.h5","30000","10.362633","2895.017125","22.742281","33.119887","31.28825"
"3","WA0089_775V_Dark_20microV_trig-3.h5","30000","12.578632","2384.997014","22.690382","35.282204","35.651492"
"4","WA0089_775V_Dark_20microV_trig-4.h5","30000","11.415479","2628.010593","22.622248","34.054521","33.521185"
"5","WA0089_775V_Dark_20microV_trig-5.h5","30000","10.278056","2918.83999","22.735103","33.030619","31.116752"
"6","WA0089_775V_Dark_20microV_trig-6.h5","30000","10.653766","2815.905662","22.76863","33.438169","31.861093"
"7","WA0089_775V_Dark_20microV_trig-7.h5","30000","9.352054","3207.851383","22.666884","32.04178","29.187062"
"8","WA0089_775V_Dark_20microV_trig-8.h5","30000","9.223579","3252.53364","22.634585","31.890456","28.922693"
"9","WA0089_775V_Dark_20microV_trig-9.h5","30000","12.226548","2453.677031","22.580541","34.819427","35.114156"
"10","WA0089_775V_Dark_20microV_trig-10.h5","30000","14.935137","2008.685973","22.646914","37.597806","39.723426"
