I(r4):                    7.27273uA
I(r3):                    7.27273uA
I(r5):                    7.27273uA
I(r16):                   0A
I(r1):                    7.27273uA
I(r2):                    7.27273uA
I(c1):                    0A
I(c2):                    0A
I(c3):                    -0.000188211fA
I(r13):                   0A
I(r10):                   7.27273uA
I(r18):                   0A
I(r12):                   7.27273uA
I(r11):                   7.27273uA
I(r14):                   0A
I(r15):                   0A
I(r8):                    7.27273uA
I(r7):                    7.27273uA
I(r6):                    7.27273uA
I(r9):                    7.27273uA
I(r17):                   -7.27273uA
I(c4):                    0A
I(c5):                    0A
I(r19):                   0A
I(vhv1):                  -7.27273uA
V(net-_j1-in_):           0V
V(net-_hv1-in_):          20V
V(net-_d5-pin_1_):        11.1273V
V(net-_d6-pin_1_):        12.7273V
V(net-_d7-pin_1_):        14.3273V
V(net-_d10-pin_1_):       19.1273V
V(net-_d9-pin_1_):        17.5273V
V(net-_p1-pin_1_):        19.9273V
V(net-_d8-pin_1_):        15.9273V
V(net-_c3-pad2_):         19.9273V
V(net-_c2-pad2_):         19.1273V
V(net-_c1-pad2_):         17.5273V
V(net-_c1-pad1_):         15.9273V
V(net-_g1-pin_1_):        0.800V
V(net-_k1-pin_1_):        0V
V(net-_d4-pin_1_):        9.52727V
V(net-_d1-pin_1_):        3.2V
V(net-_d2-pin_1_):        6.32727V
V(net-_d3-pin_1_):        7.92727V

I(r4):                    36.3636uA
I(r3):                    36.3636uA
I(r5):                    36.3636uA
I(r16):                   0A
I(r1):                    36.3636uA
I(r2):                    36.3636uA
I(c1):                    0A
I(c2):                    0A
I(c3):                    -0.00120691fA
I(r13):                   0A
I(r10):                   36.3636uA
I(r18):                   0A
I(r12):                   36.3636uA
I(r11):                   36.3636uA
I(r14):                   0A
I(r15):                   0A
I(r8):                    36.3636uA
I(r7):                    36.3636uA
I(r6):                    36.3636uA
I(r9):                    36.3636uA
I(r17):                   -36.3636uA
I(c4):                    0A
I(c5):                    0A
I(r19):                   0A
I(vhv1):                  -36.3636uA
V(net-_j1-in_):           0V
V(net-_hv1-in_):          100V
V(net-_d5-pin_1_):        55.6364V
V(net-_d6-pin_1_):        63.6364V
V(net-_d7-pin_1_):        71.6364V
V(net-_d10-pin_1_):       95.6364V
V(net-_d9-pin_1_):        87.6364V
V(net-_p1-pin_1_):        99.6364V
V(net-_d8-pin_1_):        79.6364V
V(net-_c3-pad2_):         99.6364V
V(net-_c2-pad2_):         95.6364V
V(net-_c1-pad2_):         87.6364V
V(net-_c1-pad1_):         79.6364V
V(net-_g1-pin_1_):        4V
V(net-_k1-pin_1_):        0V
V(net-_d4-pin_1_):        47.6364V
